タイプ,フルネーム,名前,コード,説明,色,備考,商品m,商品n,隠し勘定科目,税金,プレースホルダー
EXPENSE,費用:保管費,保管費,,保管費,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:債権売却損,債権売却損,,債権売却損,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:諸会費,諸会費,,諸会費,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:有価証券売却損,有価証券売却損,,有価証券売却損,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:法人税、住民税及び事業税,法人税、住民税及び事業税,,法人税、住民税及び事業税,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:有価証券評価損,有価証券評価損,,有価証券評価損,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:投資有価証券売却損,投資有価証券売却損,,投資有価証券売却損,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:火災損失,火災損失,,火災損失,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:固定資産除却損,固定資産除却損,,固定資産除却損,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:固定資産圧縮損,固定資産圧縮損,,固定資産圧縮損,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:追徴法人税等,追徴法人税等,,追徴法人税等,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:還付法人税等,還付法人税等,,還付法人税等,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:仕入割戻,仕入割戻,,仕入割戻,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:福利厚生費,福利厚生費,,福利厚生費,,,JPY,CURRENCY,F,F,F
EXPENSE,費用:保守費,保守費,,保守費,,,JPY,CURRENCY,F,F,F
,その他,その他,,その他,,,JPY,CURRENCY,F,F,T
,その他:現金過不足,現金過不足,,現金過不足,,,JPY,CURRENCY,F,F,F
,その他:未決算,未決算,,未決算,,,JPY,CURRENCY,F,F,F
,その他:損益,損益,,損益,,,JPY,CURRENCY,F,F,F
,その他:為替差損益,為替差損益,,為替差損益,,,JPY,CURRENCY,F,F,F
,その他:有価証券評価損益,有価証券評価損益,,有価証券評価損益,,,JPY,CURRENCY,F,F,F
,その他:保証債務見返,保証債務見返,,保証債務見返,,,JPY,CURRENCY,F,F,F
,その他:保証債務,保証債務,,保証債務,,,JPY,CURRENCY,F,F,F
,その他:法人税等調整額,法人税等調整額,,法人税等調整額,,,JPY,CURRENCY,F,F,F
,その他:支店,支店,,支店,,,JPY,CURRENCY,F,F,F
,その他:本店,本店,,本店,,,JPY,CURRENCY,F,F,F
,その他:非支配株主に帰属する当期純利益,非支配株主に帰属する当期純利益,,非支配株主に帰属する当期純利益,,,JPY,CURRENCY,F,F,F
,その他:非支配株主に帰属する当期純損失,非支配株主に帰属する当期純損失,,非支配株主に帰属する当期純損失,,,JPY,CURRENCY,F,F,F
